ID,Barcode,Nombre,Precio,Stock,Vence,Ingreso
325,7952498400530,PRESTO 150gr,158.00,380,2024-08-02,2022-08-07 09:52:18
326,7883285359895,Bombom VENUS ,3.00,1379,2024-07-26,2022-08-07 09:52:18
327,5817947779563,ACEITE CORONA 1 LITRO ,65.00,0,1990-12-31,2022-08-07 09:52:18
328,9760899949200,CHORICITO LA SIRENA,44.00,83,2024-07-22,2022-08-07 09:52:18
329,9820685811583,CHIRLITO 35gr,8.00,0,2024-06-21,2022-08-07 09:52:18
330,9967938517875,SUAVITEL RISTRA 80ml,10.00,1555,2024-08-05,2022-08-07 09:52:18
331,5578804234860,ACEITE VEGETAL CHORRIADO,20.00,881,2024-07-27,2022-08-07 09:52:18
332,7182469927944,Nido CEREAL TRIGO MIEL 200gr,65.00,1461,2024-08-02,2022-08-07 09:52:18
333,9427625686913,PEGA LOCA ,5.00,3209,2024-08-05,2022-08-07 09:52:18
334,2476118329407,LAPIZ GRAFITO MONGOL,7.00,4251,2024-05-24,2022-08-07 09:52:18
335,6358377184330,LAPICERO BIG,6.00,45,2023-11-25,2022-08-07 09:52:18
336,1613006378609,BALDE VACIO,160.00,117,1990-12-31,2022-08-07 09:52:18
337,2038488391196,CUADERNO Universitario LATINO,28.00,150,2024-03-30,2022-08-07 09:52:19
338,4081004742734,FOSFORO GAVILAN ,2.00,0,1990-12-31,2022-08-07 09:52:19
339,6912691433293,SHAMPOO Ricitos de Oro 400ml,138.00,5,1990-12-31,2022-08-07 09:52:19
340,4680329024305,Jabon RINZO 340gr,20.00,253,2024-07-26,2022-08-07 09:52:19
341,7838095011679,Jabon LAVA PLATO ZAGAS 425gr,32.00,175,2024-07-26,2022-08-07 09:52:19
342,7478225716274,Jabon ZIXX 425gr,40.00,3394,2024-08-05,2022-08-07 09:52:19
343,7908948222405,Jabon MARAVILLA INDIVIDUAL 275gr,18.00,0,1990-12-31,2022-08-07 09:52:19
344,6041767588640,ESCOBA ESCOPLAST,72.00,79,2024-08-05,2022-08-07 09:52:19
345,8714677267179,PERMA-SHARP ,16.00,18,2024-06-23,2022-08-07 09:52:19
346,2476182721251,HARINA GEMINA,14.00,2687,2024-07-22,2022-08-07 09:52:19
347,5314646292008,BRILLO IDEAL ,6.00,0,2024-07-26,2022-08-07 09:52:19
348,8665303097717,Arroz DON ISIDRO 50/50,14.00,376,2023-10-01,2022-08-07 09:52:19
349,9746456122392,AZUCAR ,14.00,9274,2024-08-05,2022-08-07 09:52:19
350,1579326520930,BOTONETAS ,5.00,1548,2024-07-22,2022-08-07 09:52:19
351,8492645051332,Chocolate BEST ,7.00,991,2024-05-24,2022-08-07 09:52:19
352,5250941364210,Arroz VALLE 50/50,14.00,3873,2024-07-28,2022-08-07 09:52:19
353,5335457083920,Arroz DOÑA MARIA arroba 80/20,470.00,288,2024-08-05,2022-08-07 09:52:19
354,1225053783505,Arroz FAISAN arroba,505.00,138,2024-08-05,2022-08-07 09:52:19
356,1886385977941,Leche COCOA DULCE 400g,68.00,163,2024-06-10,2022-08-07 09:52:19
357,1384039243447,Bolsa BOLY ,12.00,1073,2024-07-22,2022-08-07 09:52:19
358,7727746130992,SOPA MARUCHAN VASO,37.00,504,2024-08-05,2022-08-07 09:52:19
359,2566255375877,CHILE LIZANO 62gr,28.00,63,2024-07-19,2022-08-07 09:52:19
360,3058049034231,SAL     ,5.00,5697,2024-06-29,2022-08-07 09:52:19
361,7273789254336,AVENA QUAKER RISTRA 40gr,8.00,761,2024-07-26,2022-08-07 09:52:19
362,7833293300051,Gabachon    ,155.00,256,2024-07-05,2022-08-07 09:52:19
